User---------------------------------------------------------------------------------------
	Log Codes Supported by QCAT 06.30.93 patch 01
	Subpacket 7	Searcher4 Subpkt [Version 1]
	Subpacket 8	Sleep Stats Subpkt [Version 1]
	Subpacket 9	QPCH Subpkt [Version 1]
	Subpacket 10	AFC Subpkt [Version 1]
	Subpacket 11	Traffic Demod Status Subpkt [Version 3]
	Subpacket 12	Channel Estimator Subpkt [Version 1]
	Subpacket 13	Acquisition Info Subpkt [Version 2]
	Subpacket 14	TC Call Statistics Subpkt [Version 1]
	Subpacket 18	Idle Demod Stats Subpkt [Version 1]
0x11A0	Srch TNG AFC Info
	Subpacket -1	Unknown Subpkt [Version 1]
	Subpacket 1	Status Subpkt [Version 1]
	Subpacket 2	RF Subpkt [Version 2]
	Subpacket 3	Active Info Subpkt [Version 1]
	Subpacket 4	Finger Info Subpkt [Version 1]
	Subpacket 5	Filtered Pilot Symbol Subpkt [Version 1]
	Subpacket 6	Searcher1 Subpkt [Version 1]
	Subpacket 7	Searcher4 Subpkt [Version 1]
	Subpacket 8	Sleep Stats Subpkt [Version 1]
	Subpacket 9	QPCH Subpkt [Version 1]
	Subpacket 10	AFC Subpkt [Version 1]
	Subpacket 11	Traffic Demod Status Subpkt [Version 3]
	Subpacket 12	Channel Estimator Subpkt [Version 1]
	Subpacket 13	Acquisition Info Subpkt [Version 2]
	Subpacket 14	TC Call Statistics Subpkt [Version 1]
	Subpacket 18	Idle Demod Stats Subpkt [Version 1]
0x11A1	Srch TNG Acquisition Info
	Subpacket 1	Status Subpkt [Version 1]
	Subpacket 2	RF Subpkt [Version 2]
	Subpacket 3	Active Info Subpkt [Version 1]
	Subpacket 4	Finger Info Subpkt [Version 1]
	Subpacket 5	Filtered Pilot Symbol Subpkt [Version 1]
	Subpacket 6	Searcher1 Subpkt [Version 1]
	Subpacket 7	Searcher4 Subpkt [Version 1]
	Subpacket 8	Sleep Stats Subpkt [Version 1]
	Subpacket 9	QPCH Subpkt [Version 1]
	Subpacket 10	AFC Subpkt [Version 1]
	Subpacket 11	Traffic Demod Status Subpkt [Version 2]
	Subpacket 12	Channel Estimator Subpkt [Version 1]
	Subpacket 13	Acquisition Info Subpkt [Version 3]
	Subpacket 14	TC Call Statistics Subpkt [Version 1]
	Subpacket 18	Idle Demod Stats Subpkt [Version 1]
0x11A2	Srch TNG Finger Channel Estimate
	Subpacket -1	Unknown Subpkt [Version 1]
	Subpacket 1	Status Subpkt [Version 1]
	Subpacket 2	RF Subpkt [Version 2]
	Subpacket 3	Active Info Subpkt [Version 1]
	Subpacket 4	Finger Info Subpkt [Version 1]
	Subpacket 5	Filtered Pilot Symbol Subpkt [Version 1]
	Subpacket 6	Searcher1 Subpkt [Version 1]
	Subpacket 7	Searcher4 Subpkt [Version 1]
	Subpacket 8	Sleep Stats Subpkt [Version 1]
	Subpacket 9	QPCH Subpkt [Version 1]
	Subpacket 10	AFC Subpkt [Version 1]
	Subpacket 11	Traffic Demod Status Subpkt [Version 3]
	Subpacket 12	Channel Estimator Subpkt [Version 1]
	Subpacket 13	Acquisition Info Subpkt [Version 2]
	Subpacket 14	TC Call Statistics Subpkt [Version 1]
	Subpacket 18	Idle Demod Stats Subpkt [Version 1]
0x11A3	Srch TNG TC Call Statistics
	Subpacket -1	Unknown Subpkt [Version 1]
	Subpacket 1	Status Subpkt [Version 1]
	Subpacket 2	RF Subpkt [Version 2]
	Subpacket 3	Active Info Subpkt [Version 1]
	Subpacket 4	Finger Info Subpkt [Version 1]
	Subpacket 5	Filtered Pilot Symbol Subpkt [Version 1]
	Subpacket 6	Searcher1 Subpkt [Version 1]
	Subpacket 7	Searcher4 Subpkt [Version 1]
	Subpacket 8	Sleep Stats Subpkt [Version 1]
	Subpacket 9	QPCH Subpkt [Version 1]
	Subpacket 10	AFC Subpkt [Version 1]
	Subpacket 11	Traffic Demod Status Subpkt [Version 3]
	Subpacket 12	Channel Estimator Subpkt [Version 1]
	Subpacket 13	Acquisition Info Subpkt [Version 2]
	Subpacket 14	TC Call Statistics Subpkt [Version 1]
	Subpacket 18	Idle Demod Stats Subpkt [Version 1]
0x11A6	Srch TNG Asdiv [Version 1]
	Subpacket 25	Asdiv Subpkt [Version 3]
0x11A7	Reserved
0x11A9	Reserved
0x11AA	Reserved
0x11AB	Reserved
0x11AC	Reserved
0x11AD	Reserved
0x11AE	Reserved
0x11AF	Reserved
0x11B0	QTV RTP Text Samples
0x11B1	QTV Player Timed Text
0x11B2	QTV Frame Decode Information
0x11B3	QTV Frame Render Information
0x11B4	QTV A/V Sync Information
0x11B5	QTV Streaming SDP Parameters
0x11B6	Reserved
0x11B7	Reserved
0x11B8	Reserved
0x11BA	QTV CMX Audio Input Data
0x11BB	QTV RTSP Options
